FID,ADM2_EN,ADM3_EN,Shape_Leng,Shape_Area,Area,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk
106,Colombo,Kaduwela,0.661078449,0.007044053,86,295524,21030,0,30102,77705,107807,107807,7.116173306,0,10.18597474,26.29397274,36.47994748,36.47994748,56.40387921,43.59612079
107,Anuradhapura,Kahatagasdigiliya,1.377136983,0.030322398,369,44496,2260,0,393,22,415,415,5.079108234,0,0.883225458,0.049442647,0.932668105,0.932668105,93.98822366,6.011776339
108,Ratnapura,Kahawattha,0.556136233,0.008524623,104,45386,1427,0,1246,1373,2619,2619,3.144141365,0,2.745339973,3.025161944,5.770501917,5.770501917,91.08535672,8.914643282
109,Ratnapura,Kalawana,1.163003411,0.031264847,382,50131,1305,0,1310,1041,2351,2351,2.603179669,0,2.613153538,2.076559414,4.689712952,4.689712952,92.70710738,7.292892621
110,Ampara,Kalmunai,0.288957146,0.001722202,21,72334,2735,0,1533,0,1533,1533,3.781071142,0,2.119335306,0,2.119335306,2.119335306,94.09959355,5.900406448
111,Puttalam,Kalpitiya,2.063236941,0.011829694,144,88166,7896,0,2128,477,2605,2605,8.955833314,0,2.413628837,0.541024885,2.954653721,2.954653721,88.08951296,11.91048704
112,Kalutara,Kalutara,0.703845639,0.006008433,73,170664,16745,0,7008,1496,8504,8504,9.811676745,0,4.106314161,0.876576197,4.982890358,4.982890358,85.2054329,14.7945671
113,Kilinochchi,Kandavalai,1.690093783,0.021727166,264,11375,803,0,67,6,73,73,7.059340659,0,0.589010989,0.052747253,0.641758242,0.641758242,92.2989011,7.701098901
114,Badulla,Kandeketiya,0.69183987,0.012310421,150,22924,759,0,552,313,865,865,3.310940499,0,2.407956727,1.36538126,3.773337986,3.773337986,92.91572151,7.084278485
115,Trincomalee,Kantale,1.543838315,0.032710115,398,47095,4350,0,839,430,1269,1269,9.236649326,0,1.781505468,0.913048094,2.694553562,2.694553562,88.06879711,11.93120289
116,Kilinochchi,Karachchi,1.602256046,0.032181251,391,35561,2470,0,580,65,645,645,6.945811423,0,1.631000253,0.182784511,1.813784764,1.813784764,91.24040381,8.759596187
117,Jaffna,Karainagar,0.248032109,0.001903503,23,12029,826,0,197,16,213,213,6.866738715,0,1.63770887,0.133011888,1.770720758,1.770720758,91.36254053,8.637459473
118,Ampara,Karaitivu,0.196189453,0.000805504,10,17285,2475,0,1238,0,1238,1238,14.3187735,0,7.162279433,0,7.162279433,7.162279433,78.51894706,21.48105294
119,Galle,Karandeniya,0.601160441,0.007166547,88,68837,6685,0,3416,979,4395,4395,9.711347095,0,4.962447521,1.42220027,6.384647791,6.384647791,83.90400511,16.09599489
120,Puttalam,Karuwalagaswewa,1.421641081,0.040740107,497,19924,933,0,251,24,275,275,4.68279462,0,1.259787191,0.120457739,1.380244931,1.380244931,93.93696045,6.06303955
121,Gampaha,Katana,0.831394396,0.008644051,106,247445,34786,0,12103,5807,17910,17910,14.05807351,0,4.891187941,2.346784134,7.237972075,7.237972075,78.70395441,21.29604559
122,Monaragala,Katharagama,1.340608973,0.049693038,608,17679,1402,0,1486,304,1790,1790,7.9303128,0,8.405452797,1.719554273,10.12500707,10.12500707,81.94468013,18.05531987
123,Batticaloa,Kattankudy,0.078027783,0.000312598,4,39269,7255,0,0,0,0,0,18.47513306,0,0,0,0,0,81.52486694,18.47513306
124,Hambantota,Katuwana,0.574574827,0.008546226,105,50868,2286,0,1423,1096,2519,2519,4.49398443,0,2.797436502,2.15459621,4.952032712,4.952032712,90.55398286,9.446017142
125,Anuradhapura,Kebithigollewa,1.713113639,0.050369407,613,18639,1012,0,166,13,179,179,5.42947583,0,0.890605719,0.069746231,0.96035195,0.96035195,93.61017222,6.38982778
126,Kegalle,Kegalle,0.737747672,0.008700691,106,94284,3829,0,2207,3417,5624,5624,4.061134445,0,2.340800136,3.624156803,5.964956939,5.964956939,89.97390862,10.02609138
127,Anuradhapura,Kekirawa,1.846500338,0.027356716,333,64778,4149,0,854,113,967,967,6.404952299,0,1.318348822,0.17444194,1.492790762,1.492790762,92.10225694,7.897743061
128,Gampaha,Kelaniya,0.342153375,0.001760427,22,148652,22482,0,50986,2900,53886,53886,15.12391357,0,34.29889944,1.950865108,36.24976455,36.24976455,48.62632188,51.37367812
129,Colombo,Kesbewa,0.612836605,0.004817458,59,281940,55028,0,14276,451,14727,14727,19.51762786,0,5.063488686,0.159963113,5.223451798,5.223451798,75.25892034,24.74107966
130,Trincomalee,Kinniya,1.010123368,0.012262878,149,64888,2721,0,2721,602,3323,3323,4.193379361,0,4.193379361,0.927752435,5.121131796,5.121131796,90.68548884,9.314511158
131,Ratnapura,Kiriella,0.646037427,0.006491456,79,35166,1007,0,1006,1450,2456,2456,2.863561395,0,2.860717739,4.123300916,6.984018654,6.984018654,90.15241995,9.847580049
132,Matara,Kirinda Puhulwella,0.410075739,0.003426331,42,21154,1214,0,783,442,1225,1225,5.738867354,0,3.701427626,2.08943935,5.790866976,5.790866976,88.47026567,11.52973433
133,Kurunegala,Kobeigane,0.654634635,0.010678838,130,39666,2643,0,911,205,1116,1116,6.663137196,0,2.296677255,0.516815409,2.813492664,2.813492664,90.52337014,9.476629859
134,Ratnapura,Kolonna,0.836882303,0.014538954,178,47387,1387,0,774,509,1283,1283,2.926963091,0,1.63335936,1.074134256,2.707493616,2.707493616,94.36554329,5.634456708
135,Colombo,Kolonnawa,0.325004818,0.002108979,26,234030,6511,0,58980,116707,175687,175687,2.78212195,0,25.20189719,49.86839294,75.07029013,75.07029013,22.14758792,77.85241208
136,Batticaloa,Koralai Pattu,0.467604383,0.002438888,30,22266,1686,0,269,92,361,361,7.572082996,0,1.208120004,0.413186024,1.621306027,1.621306027,90.80661098,9.193389024
137,Batticaloa,Koralai Pattu Central,0.241600725,0.000633419,8,26091,3273,0,373,174,547,547,12.54455559,0,1.429611744,0.666896631,2.096508375,2.096508375,85.35893603,14.64106397
138,Batticaloa,Koralai Pattu North,2.084637511,0.04178984,509,18549,1255,0,536,37,573,573,6.765863389,0,2.889643647,0.19947167,3.089115316,3.089115316,90.14502129,9.854978705
139,Batticaloa,Koralai Pattu South,1.809656679,0.048588243,593,27277,2961,0,951,422,1373,1373,10.85529934,0,3.486453789,1.547090956,5.033544745,5.033544745,84.11115592,15.88884408
140,Batticaloa,Koralai Pattu West,0.340094494,0.001877514,23,22198,5331,0,513,128,641,641,24.01567709,0,2.311019011,0.576628525,2.887647536,2.887647536,73.09667538,26.90332462
