ADM2_EN,ADM3_EN,Area,pop_mild_dro,pop_mod_dro,pop_sev_dro,pop_ex_dro,pop_mse_dro,pop_se_dro,pct_mild_dro,pct_mod_dr,pct_sev_dro,pct_ex_dro,pct_mse_dro,pct_se_dr,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk,flood_high_cat,drought_sev_cat
Galle,Galle4Gravets,22,0,0,18244,63621,81865,81865,0,0,18.5344836,64.63219143,83.16667503,83.16667503,98435,12688,6163,1983,303,8449,2286,12.88972418,6.260984406,2.014527353,0.307817341,8.5833291,2.322344694,78.52694672,21.47305328,2.00,1.00
Anuradhapura,Galnewa,138,0,1343,29188,5817,36347,35005,0,3.601598306,78.28943461,15.60212573,97.49315865,93.89156034,37282,2180,1367,440,12,1819,452,5.847325787,3.666648785,1.180194196,0.032187114,4.879030095,1.21238131,89.27364412,10.72635588,1.00,2.00
Gampaha,Gampaha,92,0,0,0,214399,214399,214399,0,0,0,95.08633254,95.08633254,95.08633254,225478,21071,17318,16459,4526,38303,20985,9.345035879,7.68057194,7.299603509,2.007291177,16.98746663,9.306894686,73.66749749,26.33250251,2.00,1.00
Kurunegala,Ganewatta,150,0,2005,41414,0,43419,41414,0,4.553939176,94.05685451,0,98.61079368,94.05685451,44031,2466,1638,1045,256,2939,1301,5.600599578,3.720106289,2.373327883,0.581408553,6.674842724,2.954736436,87.7245577,12.2754423,2.00,2.00
Kandy,Ganga Ihala Korale,96,0,0,7,62032,62039,62039,0,0,0.010298973,96.00844614,96.01874511,96.01874511,64611,1247,1306,1693,4669,7668,6362,1.930011917,2.021327638,2.620296853,7.226323691,11.86794818,9.846620544,86.2020399,13.7979601,2.00,1.00
Kandy,Gangawata Korale,59,0,0,158335,892,159227,159227,0,0,95.98551021,0.540786192,96.5262964,96.5262964,164957,5852,6623,4207,9443,20273,13650,3.54759119,4.014985724,2.550361609,5.724522148,12.28986948,8.274883758,84.16253933,15.83746067,2.00,2.00
Kurunegala,Giribawa,199,0,0,15165,18329,33494,33494,0,0,46.05949075,55.67154459,101.7310353,101.7310353,32924,1738,1199,576,77,1852,653,5.278823958,3.641720326,1.749483659,0.233871948,5.625075932,1.983355607,89.09610011,10.90389989,2.00,2.00
Ratnapura,Godakawela,152,0,51846,29176,0,81022,29176,0,62.93474168,35.41597586,0,98.35071754,35.41597586,82381,3752,2980,2920,3220,9120,6140,4.554448234,3.61733895,3.544506622,3.908668261,11.07051383,7.453174883,84.37503793,15.62496207,2.00,2.00
Trincomalee,Gomarankadawala,307,0,5182,191,0,5373,191,0,94.84431273,3.487529308,0,98.33184204,3.487529308,5464,359,209,74,4,287,78,6.570278184,3.825036603,1.35431918,0.073206442,5.252562225,1.427525622,88.17715959,11.82284041,2.00,1.00
Galle,Gonapinuwala,25,0,0,23158,0,23158,23158,0,0,93.98491284,0,93.98491284,93.98491284,24640,2441,2087,1962,133,4182,2095,9.906655844,8.469967532,7.962662338,0.539772727,16.9724026,8.502435065,73.12094156,26.87905844,2.00,2.00
Galle,Habaraduwa,45,0,0,12554,45776,58329,58329,0,0,19.25498986,70.20998962,89.46497947,89.46497947,65198,4326,2850,2997,820,6667,3817,6.635172858,4.371299733,4.596766772,1.257707292,10.2257738,5.854474064,83.13905335,16.86094665,2.00,1.00
